x0000,y0000
2.38e-05,95501,
2.385e-05,95651,
2.39e-05,95954,
2.395e-05,95510,
2.4e-05,95735,
2.405e-05,95631,
2.41e-05,96372,
2.415e-05,96092,
2.42e-05,96220,
2.425e-05,96276,
2.43e-05,95989,
2.435e-05,96396,
2.44e-05,95614,
2.445e-05,96002,
2.45e-05,96111,
2.455e-05,96422,
2.46e-05,96093,
2.465e-05,95382,
2.47e-05,95848,
2.475e-05,96660,
2.48e-05,95879,
2.485e-05,96217,
2.49e-05,96486,
2.495e-05,96633,
2.5e-05,96028,
2.505e-05,96351,
2.51e-05,96395,
2.515e-05,96679,
2.52e-05,96392,
2.525e-05,96471,
2.53e-05,96507,
2.535e-05,96571,
2.54e-05,96657,
2.545e-05,96742,
2.55e-05,95974,
2.555e-05,96969,
2.56e-05,96459,
2.565e-05,96976,
2.57e-05,96591,
2.575e-05,97135,
2.58e-05,95878,
2.585e-05,96213,
2.59e-05,96744,
2.595e-05,96707,
2.6e-05,96323,
2.605e-05,96528,
2.61e-05,96517,
2.615e-05,97280,
2.62e-05,96951,
2.625e-05,96503,
2.63e-05,42769,
2.635e-05,3774,
2.64e-05,606,
2.645e-05,382,
2.65e-05,334,
2.655e-05,20039,
2.66e-05,79222,
2.665e-05,97086,
2.67e-05,96082,
2.675e-05,95104,
2.68e-05,94965,
2.685e-05,94861,
2.69e-05,94424,
2.695e-05,94133,
2.7e-05,93563,
2.705e-05,94133,
2.71e-05,93712,
2.715e-05,93675,
2.72e-05,93769,
2.725e-05,93525,
2.73e-05,93146,
2.735e-05,93076,
2.74e-05,93472,
2.745e-05,93554,
2.75e-05,93850,
2.755e-05,93580,
2.76e-05,94420,
2.765e-05,94254,
2.77e-05,94215,
2.775e-05,94906,
2.78e-05,94435,
2.785e-05,94964,
2.79e-05,94443,
2.795e-05,94928,
2.8e-05,94547,
2.805e-05,94950,
2.81e-05,94650,
2.815e-05,94942,
2.82e-05,95296,
2.825e-05,95471,
2.83e-05,95069,
2.835e-05,95317,
2.84e-05,95974,
2.845e-05,95500,
2.85e-05,95538,
2.855e-05,95501,
2.86e-05,95362,
2.865e-05,95774,
2.87e-05,95635,
2.875e-05,95967,
2.88e-05,95707,
2.885e-05,95423,
2.89e-05,95902,
2.895e-05,96004,
2.9e-05,96051,
2.905e-05,95968,
2.91e-05,96040,
2.915e-05,95999,
2.92e-05,95739,
2.925e-05,95597,
2.93e-05,96028,
2.935e-05,95446,
2.94e-05,95845,
2.945e-05,95618,
2.95e-05,96501,
2.955e-05,96058,
2.96e-05,96760,
2.965e-05,96367,
2.97e-05,96154,
2.975e-05,95884,
2.98e-05,95559,
2.985e-05,96316,
2.99e-05,96524,
2.995e-05,95966,
3e-05,96246,
3.005e-05,96447,
3.01e-05,96216,
3.015e-05,96625,
3.02e-05,96593,
3.025e-05,96227,
3.03e-05,96366,
3.035e-05,96357,
3.04e-05,96502,
3.045e-05,96259,
3.05e-05,96250,
3.055e-05,96510,
3.06e-05,96713,
3.065e-05,96212,
3.07e-05,96373,
3.075e-05,96746,
3.08e-05,96358,
3.085e-05,96583,
3.09e-05,96645,
3.095e-05,96279,
3.1e-05,96760,
3.105e-05,96073,
3.11e-05,96565,
3.115e-05,96589,
3.12e-05,96737,
3.125e-05,96481,
3.13e-05,96164,
3.135e-05,96705,
3.14e-05,96783,
3.145e-05,97286,
3.15e-05,97138,
3.155e-05,71630,
3.16e-05,13194,
3.165e-05,995,
3.17e-05,416,
3.175e-05,351,
3.18e-05,303,
3.185e-05,46544,
3.19e-05,92547,
3.195e-05,98071,
3.2e-05,96023,
3.205e-05,96380,
3.21e-05,95651,
3.215e-05,95420,
3.22e-05,95405,
3.225e-05,95446,
3.23e-05,94753,
3.235e-05,94632,
3.24e-05,93679,
3.245e-05,93956,
3.25e-05,94358,
3.255e-05,93489,
3.26e-05,93838,
3.265e-05,94025,
3.27e-05,93963,
3.275e-05,93420,
3.28e-05,93850,
3.285e-05,94154,
3.29e-05,94703,
3.295e-05,94367,
3.3e-05,95315,
3.305e-05,94669,
3.31e-05,94883,
3.315e-05,94726,
3.32e-05,95365,
3.325e-05,95183,
3.33e-05,94900,
3.335e-05,95621,
3.34e-05,95695,
3.345e-05,95187,
3.35e-05,95775,
3.355e-05,95731,
3.36e-05,95954,
3.365e-05,95778,
3.37e-05,94887,
3.375e-05,96195,
3.38e-05,95745,
3.385e-05,95582,
3.39e-05,95762,
3.395e-05,95862,
3.4e-05,95944,
3.405e-05,95963,
3.41e-05,95851,
3.415e-05,95898,
3.42e-05,95731,
3.425e-05,95507,
3.43e-05,95448,
3.435e-05,95831,
3.44e-05,95971,
3.445e-05,96341,
3.45e-05,96290,
3.455e-05,95589,
3.46e-05,96239,
3.465e-05,96223,
3.47e-05,96445,
3.475e-05,96145,
3.48e-05,95987,
3.485e-05,95892,
3.49e-05,96449,
3.495e-05,96878,
3.5e-05,96120,
3.505e-05,96792,
3.51e-05,96908,
3.515e-05,96555,
3.52e-05,95941,
3.525e-05,96289,
3.53e-05,96257,
3.535e-05,96709,
3.54e-05,96813,
3.545e-05,96584,
3.55e-05,96760,
3.555e-05,96589,
3.56e-05,96744,
3.565e-05,96830,
3.57e-05,96252,
3.575e-05,95979,
3.58e-05,97432,
3.585e-05,96589,
3.59e-05,96020,
3.595e-05,96601,
3.6e-05,96009,
3.605e-05,96798,
3.61e-05,96734,
3.615e-05,96080,
3.62e-05,96442,
3.625e-05,97107,
3.63e-05,96787,
3.635e-05,95960,
3.64e-05,96672,
3.645e-05,97135,
3.65e-05,96370,
3.655e-05,96920,
3.66e-05,96349,
3.665e-05,97419,
3.67e-05,96162,
3.675e-05,96893,
3.68e-05,96578,
3.685e-05,42621,
3.69e-05,3843,
3.695e-05,589,
3.7e-05,382,
3.705e-05,329,
3.71e-05,2572,
3.715e-05,59893,
3.72e-05,97061,
3.725e-05,98758,
3.73e-05,96974,
3.735e-05,96626,
3.74e-05,96569,
3.745e-05,96096,
3.75e-05,96088,
3.755e-05,95784,
3.76e-05,95562,
3.765e-05,94770,
3.77e-05,95308,
3.775e-05,94308,
3.78e-05,94069,
3.785e-05,94542,
3.79e-05,94576,
3.795e-05,94593,
3.8e-05,94218,
3.805e-05,94623,
3.81e-05,94245,
3.815e-05,94778,
3.82e-05,94449,
3.825e-05,95365,
3.83e-05,95260,
3.835e-05,94889,
