x0000,y0000
5.1e-05,10346,
5.11e-05,10328,
5.12e-05,10380,
5.13e-05,10237,
5.14e-05,10109,
5.15e-05,10341,
5.16e-05,10326,
5.17e-05,10173,
5.18e-05,10268,
5.19e-05,10140,
5.2e-05,10335,
5.21e-05,10462,
5.22e-05,10420,
5.23e-05,10132,
5.24e-05,10368,
5.25e-05,10097,
5.26e-05,10341,
5.27e-05,10187,
5.28e-05,10265,
5.29e-05,10327,
5.3e-05,10360,
5.31e-05,10158,
5.32e-05,10149,
5.33e-05,10209,
5.34e-05,10072,
5.35e-05,10197,
5.36e-05,10282,
5.37e-05,10220,
5.38e-05,10121,
5.39e-05,9966,
5.4e-05,10158,
5.41e-05,10142,
5.42e-05,10030,
5.43e-05,10138,
5.44e-05,10105,
5.45e-05,10197,
5.46e-05,10186,
5.47e-05,10366,
5.48e-05,10238,
5.49e-05,10292,
5.5e-05,10229,
5.51e-05,10304,
5.52e-05,10207,
5.53e-05,10260,
5.54e-05,10194,
5.55e-05,10137,
5.56e-05,10188,
5.57e-05,10436,
5.58e-05,10247,
5.59e-05,10265,
5.6e-05,10197,
5.61e-05,10086,
5.62e-05,10362,
5.63e-05,10244,
5.64e-05,10229,
5.65e-05,10464,
5.66e-05,10295,
5.67e-05,10267,
5.68e-05,10189,
5.69e-05,10198,
5.7e-05,10322,
5.71e-05,9964,
5.72e-05,10282,
5.73e-05,10207,
5.74e-05,10152,
5.75e-05,10196,
5.76e-05,10103,
5.77e-05,10139,
5.78e-05,10155,
5.79e-05,10351,
5.8e-05,10258,
5.81e-05,10139,
5.82e-05,10277,
5.83e-05,10240,
5.84e-05,10355,
5.85e-05,10311,
5.86e-05,10271,
5.87e-05,10295,
5.88e-05,10215,
5.89e-05,10216,
5.9e-05,10193,
5.91e-05,10274,
5.92e-05,10387,
5.93e-05,10156,
5.94e-05,10288,
5.95e-05,10270,
5.96e-05,10359,
5.97e-05,10248,
5.98e-05,10185,
5.99e-05,10364,
6e-05,10230,
6.01e-05,10246,
6.02e-05,10253,
6.03e-05,10242,
6.04e-05,10188,
6.05e-05,10352,
6.06e-05,10288,
6.07e-05,10316,
6.08e-05,10187,
6.09e-05,10334,
6.1e-05,10315,
6.11e-05,10210,
6.12e-05,10184,
6.13e-05,10183,
6.14e-05,10323,
6.15e-05,10377,
6.16e-05,10202,
6.17e-05,10108,
6.18e-05,10213,
6.19e-05,10345,
6.2e-05,10165,
6.21e-05,10265,
6.22e-05,10355,
6.23e-05,10329,
6.24e-05,10087,
6.25e-05,10247,
6.26e-05,10319,
6.27e-05,10287,
6.28e-05,10353,
6.29e-05,10558,
6.3e-05,10176,
6.31e-05,10363,
6.32e-05,10240,
6.33e-05,10189,
6.34e-05,10336,
6.35e-05,10200,
6.36e-05,10193,
6.37e-05,10167,
6.38e-05,10330,
6.39e-05,10111,
6.4e-05,10137,
6.41e-05,10176,
6.42e-05,10286,
6.43e-05,10147,
6.44e-05,9983,
6.45e-05,10286,
6.46e-05,10273,
6.47e-05,10349,
6.48e-05,10105,
6.49e-05,10303,
6.5e-05,10044,
6.51e-05,10410,
6.52e-05,10256,
6.53e-05,10199,
6.54e-05,10272,
6.55e-05,10365,
6.56e-05,10167,
6.57e-05,10007,
6.58e-05,10323,
6.59e-05,10090,
6.6e-05,10155,
6.61e-05,10384,
6.62e-05,10251,
6.63e-05,10387,
6.64e-05,10070,
6.65e-05,9978,
6.66e-05,10059,
6.67e-05,10348,
6.68e-05,10341,
6.69e-05,10254,
6.7e-05,10262,
6.71e-05,10175,
6.72e-05,10181,
6.73e-05,10511,
6.74e-05,10228,
6.75e-05,10148,
6.76e-05,10071,
6.77e-05,10042,
6.78e-05,10147,
6.79e-05,10347,
6.8e-05,10348,
6.81e-05,10029,
6.82e-05,10320,
6.83e-05,10159,
6.84e-05,10231,
6.85e-05,10111,
6.86e-05,10196,
6.87e-05,10029,
6.88e-05,10310,
6.89e-05,10164,
6.9e-05,10217,
6.91e-05,10243,
6.92e-05,10161,
6.93e-05,10285,
6.94e-05,10293,
6.95e-05,10277,
6.96e-05,10284,
6.97e-05,10284,
6.98e-05,10445,
6.99e-05,10203,
7e-05,10283,
7.01e-05,10170,
7.02e-05,10365,
7.03e-05,10294,
7.04e-05,10171,
7.05e-05,10309,
7.06e-05,10130,
7.07e-05,10262,
7.08e-05,10227,
7.09e-05,10167,
7.1e-05,10265,
7.11e-05,10333,
7.12e-05,10282,
7.13e-05,10261,
7.14e-05,10279,
7.15e-05,10196,
7.16e-05,10310,
7.17e-05,10378,
7.18e-05,10268,
7.19e-05,10159,
7.2e-05,10131,
7.21e-05,10098,
7.22e-05,10257,
7.23e-05,10333,
7.24e-05,10212,
7.25e-05,10331,
7.26e-05,10356,
7.27e-05,10319,
7.28e-05,10242,
7.29e-05,10345,
7.3e-05,10232,
7.31e-05,10090,
7.32e-05,10392,
7.33e-05,10342,
7.34e-05,10174,
7.35e-05,10273,
7.36e-05,10263,
7.37e-05,10219,
7.38e-05,10145,
7.39e-05,10500,
7.4e-05,10137,
7.41e-05,10346,
7.42e-05,10177,
7.43e-05,9971,
7.44e-05,10216,
7.45e-05,10235,
7.46e-05,10151,
7.47e-05,10185,
7.48e-05,10218,
7.49e-05,10138,
7.5e-05,10278,
7.51e-05,10432,
7.52e-05,10348,
7.53e-05,9998,
7.54e-05,10175,
7.55e-05,10184,
7.56e-05,10266,
7.57e-05,10271,
7.58e-05,10238,
7.59e-05,10244,
7.6e-05,10208,
7.61e-05,10294,
7.62e-05,10280,
7.63e-05,10097,
7.64e-05,10230,
7.65e-05,10244,
7.66e-05,10260,
7.67e-05,10234,
7.68e-05,10015,
7.69e-05,10145,
7.7e-05,10111,
7.71e-05,10297,
7.72e-05,10294,
7.73e-05,10304,
7.74e-05,10306,
7.75e-05,10308,
7.76e-05,10380,
7.77e-05,10198,
7.78e-05,10140,
7.79e-05,10200,
7.8e-05,10367,
7.81e-05,10155,
7.82e-05,10378,
7.83e-05,10337,
7.84e-05,10120,
7.85e-05,10384,
7.86e-05,10180,
7.87e-05,10356,
7.88e-05,10164,
7.89e-05,10441,
7.9e-05,10390,
7.91e-05,10151,
7.92e-05,10231,
7.93e-05,10288,
7.94e-05,10194,
7.95e-05,10254,
7.96e-05,10234,
7.97e-05,10319,
7.98e-05,10184,
7.99e-05,10143,
8e-05,10296,
8.01e-05,10067,
8.02e-05,10112,
8.03e-05,10106,
8.04e-05,10263,
8.05e-05,10147,
8.06e-05,10310,
8.07e-05,10247,
8.08e-05,10149,
8.09e-05,10266,
8.1e-05,10281,
8.11e-05,10277,
8.12e-05,10369,
8.13e-05,10132,
8.14e-05,10402,
8.15e-05,10102,
8.16e-05,10289,
8.17e-05,10327,
8.18e-05,10194,
8.19e-05,10427,
8.2e-05,10187,
8.21e-05,10238,
8.22e-05,10342,
8.23e-05,10227,
8.24e-05,10285,
8.25e-05,10414,
8.26e-05,10336,
8.27e-05,10156,
8.28e-05,10253,
8.29e-05,10160,
8.3e-05,10334,
8.31e-05,10070,
8.32e-05,10037,
8.33e-05,10238,
8.34e-05,10228,
8.35e-05,10125,
8.36e-05,10111,
8.37e-05,10259,
8.38e-05,10195,
8.39e-05,10223,
8.4e-05,10260,
