x0000,y0000
4.43e-07,16090,
4.44e-07,15969,
4.45e-07,16231,
4.46e-07,16397,
4.47e-07,15994,
4.48e-07,16352,
4.49e-07,16010,
4.5e-07,15968,
4.51e-07,16174,
4.52e-07,16097,
4.53e-07,15983,
4.54e-07,15920,
4.55e-07,15983,
4.56e-07,16030,
4.57e-07,15883,
4.58e-07,16162,
4.59e-07,16369,
4.6e-07,15973,
4.61e-07,15929,
4.62e-07,16080,
4.63e-07,15926,
4.64e-07,15760,
4.65e-07,16062,
4.66e-07,16027,
4.67e-07,16173,
4.68e-07,16090,
4.69e-07,15938,
4.7e-07,16136,
4.71e-07,16012,
4.72e-07,15734,
4.73e-07,16035,
4.74e-07,16102,
4.75e-07,16193,
4.76e-07,16132,
4.77e-07,15989,
4.78e-07,15905,
4.79e-07,16066,
4.8e-07,16050,
4.81e-07,15996,
4.82e-07,15907,
4.83e-07,15918,
4.84e-07,15940,
4.85e-07,16150,
4.86e-07,15964,
4.87e-07,15883,
4.88e-07,16174,
4.89e-07,16084,
4.9e-07,15946,
4.91e-07,15828,
4.92e-07,15931,
4.93e-07,15961,
4.94e-07,16000,
4.95e-07,15881,
4.96e-07,15995,
4.97e-07,15941,
4.98e-07,15982,
4.99e-07,15836,
5e-07,15920,
5.01e-07,15719,
5.02e-07,15944,
5.03e-07,15966,
5.04e-07,15959,
5.05e-07,15886,
5.06e-07,15933,
5.07e-07,15899,
5.08e-07,15997,
5.09e-07,15934,
5.1e-07,15778,
5.11e-07,15804,
5.12e-07,15927,
5.13e-07,15836,
5.14e-07,15847,
5.15e-07,15773,
5.16e-07,15984,
5.17e-07,15863,
5.18e-07,16130,
5.19e-07,16058,
5.2e-07,15977,
5.21e-07,15939,
5.22e-07,15885,
5.23e-07,15846,
5.24e-07,15879,
5.25e-07,15698,
5.26e-07,15696,
5.27e-07,15963,
5.28e-07,15857,
5.29e-07,15886,
5.3e-07,16054,
5.31e-07,15775,
5.32e-07,15808,
5.33e-07,16087,
5.34e-07,15862,
5.35e-07,15859,
5.36e-07,15866,
5.37e-07,15624,
5.38e-07,15563,
5.39e-07,15975,
5.4e-07,15952,
5.41e-07,16019,
5.42e-07,15991,
5.43e-07,15816,
5.44e-07,15825,
5.45e-07,15644,
5.46e-07,15667,
5.47e-07,15675,
5.48e-07,15968,
5.49e-07,15805,
5.5e-07,16108,
5.51e-07,15681,
5.52e-07,15995,
5.53e-07,15657,
5.54e-07,15827,
5.55e-07,15781,
5.56e-07,15797,
5.57e-07,15654,
5.58e-07,15926,
5.59e-07,15891,
5.6e-07,15715,
5.61e-07,15794,
5.62e-07,15750,
5.63e-07,15678,
5.64e-07,15790,
5.65e-07,15848,
5.66e-07,15778,
5.67e-07,16028,
5.68e-07,15925,
5.69e-07,15812,
5.7e-07,15718,
5.71e-07,15723,
5.72e-07,16040,
5.73e-07,15864,
5.74e-07,15782,
5.75e-07,15913,
5.76e-07,15792,
5.77e-07,15874,
5.78e-07,15961,
5.79e-07,15769,
5.8e-07,15896,
5.81e-07,15970,
5.82e-07,15802,
5.83e-07,15812,
5.84e-07,15793,
5.85e-07,15728,
5.86e-07,15685,
5.87e-07,15711,
5.88e-07,15816,
5.89e-07,15782,
5.9e-07,15730,
5.91e-07,15927,
5.92e-07,15698,
5.93e-07,15562,
5.94e-07,15951,
5.95e-07,15943,
5.96e-07,15588,
5.97e-07,15826,
5.98e-07,15820,
5.99e-07,15806,
6e-07,15808,
6.01e-07,15842,
6.02e-07,15808,
6.03e-07,15774,
6.04e-07,15899,
6.05e-07,15438,
6.06e-07,15911,
6.07e-07,15690,
6.08e-07,15774,
6.09e-07,15750,
6.1e-07,16058,
6.11e-07,15803,
6.12e-07,15877,
