x0000,y0000
3.9e-05,4001,
3.91e-05,4144,
3.92e-05,4177,
3.93e-05,4051,
3.94e-05,4044,
3.95e-05,4107,
3.96e-05,4026,
3.97e-05,4113,
3.98e-05,4139,
3.99e-05,4092,
4e-05,4178,
4.01e-05,4193,
4.02e-05,4103,
4.03e-05,4194,
4.04e-05,4102,
4.05e-05,4152,
4.06e-05,4010,
4.07e-05,4040,
4.08e-05,4120,
4.09e-05,4128,
4.1e-05,4013,
4.11e-05,4080,
4.12e-05,4116,
4.13e-05,4107,
4.14e-05,4004,
4.15e-05,3920,
4.16e-05,4047,
4.17e-05,4047,
4.18e-05,4059,
4.19e-05,4134,
4.2e-05,4034,
4.21e-05,4091,
4.22e-05,4069,
4.23e-05,3970,
4.24e-05,4089,
4.25e-05,3971,
4.26e-05,4050,
4.27e-05,4166,
4.28e-05,3998,
4.29e-05,4109,
4.3e-05,4039,
4.31e-05,4126,
4.32e-05,4014,
4.33e-05,4054,
4.34e-05,4045,
4.35e-05,4085,
4.36e-05,4181,
4.37e-05,4122,
4.38e-05,4081,
4.39e-05,3966,
4.4e-05,4026,
4.41e-05,4109,
4.42e-05,4172,
4.43e-05,4119,
4.44e-05,4110,
4.45e-05,4144,
4.46e-05,4092,
4.47e-05,4183,
4.48e-05,4081,
4.49e-05,4048,
4.5e-05,4098,
4.51e-05,4004,
4.52e-05,4189,
4.53e-05,4075,
4.54e-05,4127,
4.55e-05,4133,
4.56e-05,4127,
4.57e-05,3963,
4.58e-05,4029,
4.59e-05,3985,
4.6e-05,3995,
4.61e-05,4133,
4.62e-05,4165,
4.63e-05,4186,
4.64e-05,4182,
4.65e-05,4111,
4.66e-05,4138,
4.67e-05,4129,
4.68e-05,4122,
4.69e-05,3965,
4.7e-05,4152,
4.71e-05,4147,
4.72e-05,4050,
4.73e-05,4158,
4.74e-05,4157,
4.75e-05,4069,
4.76e-05,3896,
4.77e-05,4111,
4.78e-05,4105,
4.79e-05,4071,
4.8e-05,4039,
4.81e-05,4084,
4.82e-05,4134,
4.83e-05,3969,
4.84e-05,4109,
4.85e-05,4059,
4.86e-05,4111,
4.87e-05,4103,
4.88e-05,4030,
4.89e-05,4121,
4.9e-05,4171,
4.91e-05,4202,
4.92e-05,4204,
4.93e-05,4085,
4.94e-05,4073,
4.95e-05,4119,
4.96e-05,4139,
4.97e-05,3864,
4.98e-05,4122,
4.99e-05,4111,
5e-05,4077,
5.01e-05,4053,
5.02e-05,4096,
5.03e-05,4080,
5.04e-05,4119,
5.05e-05,4223,
5.06e-05,4039,
5.07e-05,3994,
5.08e-05,4154,
5.09e-05,4155,
5.1e-05,4145,
5.11e-05,4026,
5.12e-05,3996,
5.13e-05,4054,
5.14e-05,4090,
5.15e-05,4181,
5.16e-05,4083,
5.17e-05,4088,
5.18e-05,4102,
5.19e-05,4144,
5.2e-05,4073,
5.21e-05,4233,
5.22e-05,4122,
5.23e-05,4027,
5.24e-05,4027,
5.25e-05,4026,
5.26e-05,4003,
5.27e-05,3981,
5.28e-05,4078,
5.29e-05,3986,
5.3e-05,4008,
5.31e-05,4036,
5.32e-05,4016,
5.33e-05,4149,
5.34e-05,4154,
5.35e-05,4114,
5.36e-05,4210,
5.37e-05,4177,
5.38e-05,3852,
5.39e-05,4088,
5.4e-05,3978,
5.41e-05,4043,
5.42e-05,4085,
5.43e-05,4093,
5.44e-05,3988,
5.45e-05,4197,
5.46e-05,4097,
5.47e-05,4075,
5.48e-05,4094,
5.49e-05,3996,
5.5e-05,4046,
5.51e-05,4081,
5.52e-05,4031,
5.53e-05,4086,
5.54e-05,4047,
5.55e-05,4116,
5.56e-05,4041,
5.57e-05,4095,
5.58e-05,4062,
5.59e-05,4092,
5.6e-05,4046,
5.61e-05,4187,
5.62e-05,4087,
5.63e-05,4077,
5.64e-05,4125,
5.65e-05,4122,
5.66e-05,4059,
5.67e-05,4065,
5.68e-05,4057,
5.69e-05,4095,
5.7e-05,4027,
5.71e-05,4119,
5.72e-05,4151,
5.73e-05,4219,
5.74e-05,3892,
5.75e-05,4062,
5.76e-05,4112,
5.77e-05,4171,
5.78e-05,4191,
5.79e-05,4057,
5.8e-05,4019,
5.81e-05,4102,
5.82e-05,4076,
5.83e-05,4061,
5.84e-05,4070,
5.85e-05,4107,
5.86e-05,4128,
5.87e-05,4098,
5.88e-05,4003,
5.89e-05,4093,
5.9e-05,4098,
5.91e-05,4133,
5.92e-05,4070,
5.93e-05,4052,
5.94e-05,4035,
5.95e-05,4109,
5.96e-05,4026,
5.97e-05,4122,
5.98e-05,4053,
5.99e-05,4093,
6e-05,4066,
6.01e-05,3992,
6.02e-05,4076,
6.03e-05,4158,
6.04e-05,4014,
6.05e-05,4086,
6.06e-05,4086,
6.07e-05,4081,
6.08e-05,4042,
6.09e-05,4174,
6.1e-05,4022,
6.11e-05,4073,
6.12e-05,4014,
6.13e-05,4008,
6.14e-05,3990,
6.15e-05,4021,
6.16e-05,4113,
6.17e-05,3946,
6.18e-05,4011,
6.19e-05,4061,
6.2e-05,4071,
6.21e-05,4007,
6.22e-05,4079,
